Session,Week,Suggested Days,Track,Title,Hours,Status,Files to Build,Key Patterns / Concepts,Prerequisites,Notes
0,0,Mon,Track 0 — Foundations,LLM Internals & Model Selection,2,Not Started,00_llm_fundamentals.py,"Transformers, tokenization (BPE), context windows, sampling (temperature/top-p), reasoning models, benchmarks (MMLU/HumanEval/LMSYS/MTEB), model family selection",None,Fills Roadmap Category 01. Prerequisite for all sessions.
0b,0,Tue,Track 0 — Foundations (Optional),Engineering Foundations for AI,2,Not Started,"00b_engineering_foundations.py, labs/docker/Dockerfile.00b, labs/docker/docker-compose.00b.yml","Python async/await, FastAPI + Pydantic, Docker + docker-compose, pgvector setup",None,Optional. Fills Roadmap Category 09. For engineers new to the Python web stack.
2b,1,Fri,Track 0 — Foundations,Prompt Engineering Deep Dive,2,Not Started,02b_prompt_engineering.py,"System prompt anatomy, few-shot, Chain-of-Thought, XML structuring, extended thinking (budget_tokens)",Sessions 01-05,Fills Roadmap Category 02. Closes the gap between prompt caching and structured output.
1,1,Mon-Tue,A — Agentic Patterns,MCP (Model Context Protocol),2,Done,"12_mcp_server.py, 12_mcp_client.py, claude-desktop.json","JSON-RPC over stdio, tools/list, tools/call, MCP resources, protocol-based tool sharing",08_chatbot_memory.py,Built in lesson 12. Maps to Brij concept 02.
1b,1,Fri,A — Agentic Patterns,A2A (Agent-to-Agent Protocol),2,Not Started,"12b_a2a_specialist.py, 12b_a2a_orchestrator.py, 12b_a2a_demo.py","Agent Card (/.well-known/agent.json), Discover → Negotiate → Delegate → Return handshake, skill matching, async task lifecycle (202 + poll), cross-vendor agent interop",Session 1 MCP,NEW. Completes the 2026 protocol stack: MCP = agent↔tool, A2A = agent↔agent. Only gap vs Master Scalable Agentic AI infographic.
1c,1,Sun,A — Agentic Patterns,Context Assembly,1,Not Started,1c_context_assembly.py,"Context window as curated model input; system prompt + tools + memory + RAG docs + history; token budget allocation per slot; dynamic context composition; curate-don't-dump principle",Session 1b A2A,Gap vs Master Scalable Agentic AI infographic (concept 2). Bridges protocol sessions to agent-loop internals — teaches engineers to deliberately assemble what the model sees on every call.
2,1,Wed-Thu,A — Agentic Patterns,Reflection + Plan-and-Execute,2,Done,"13_reflection_03_agent_manual.py, 13_plan_execute_03_agent_manual.py","Reflection / Reflexion, Plan-and-Execute, ReWOO, iterative refinement",03_agent_framework.py,Built in lesson 13. Maps to Brij concept 01.
3,1,Sat,A — Agentic Patterns,Multi-agent + Long-term + Episodic Memory,2,Done,"14_multi_03_agent_manual.py, 14_long_term_memory.py","Supervisor pattern, semantic LTM, EPISODIC MEMORY (events not facts), state sharing via LangGraph",11_production_chatbot.py,Built in lesson 14. Maps to Brij concept 03. Lesson updated with episodic memory subsection.
4,2,Mon-Tue,B — Workflow & Skill,Spec-Driven Development (SDD),2,Done,"15_spec_driven.py","Spec-first workflow, structured intermediate artifacts, phase gates, acceptance criteria, HITL approval",05_structured_output.py,Built in lesson 15. Generated wordcount.py demonstrates the pipeline.
5,2,Wed-Thu,B — Workflow & Skill,Vibe Coding,2,Not Started,"16_vibe_coding.py, sandbox.py","Generate-execute-reflect-retry loop, sandboxed code execution, error-driven refinement, iteration budget",03_agent_manual.py,Improvisational opposite of SDD.
6,2,Sat,B — Workflow & Skill,Skill Development (Claude Skills),2,Not Started,"skills/agenticcourse-rag/SKILL.md, skills/agenticcourse-caching/SKILL.md, 17_claude_skills_router.py","Skill manifests, triggering by description, bundled resources, skill composition",NOTES.md,Modular knowledge packaging.
7,3,Mon-Tue,C — Alt Architectures,Anthropic SDK / Claude Agent SDK,2,Not Started,"direct_anthropic.py, direct_agent_sdk.py","Raw messages.create API, tool_use / tool_result content blocks, Claude Agent SDK, LangChain vs SDK trade-offs",03_agent_manual.py,Build same patterns without LangChain.
7b,3,Wed,Track C — Alt Architectures,Open-Weight Models & HuggingFace Ecosystem,2,Not Started,07b_ecosystem_fluency.py,"HuggingFace Hub API, open-weight model families (Llama/Qwen/DeepSeek/Mistral), arXiv paper reading, benchmark interpretation (MMLU/HumanEval/LMSYS/MTEB)",Session 07,Fills Roadmap Category 12.
8,3,Wed-Thu,C — Alt Architectures,AI Gateway (one control plane many models),2,Not Started,"ai_gateway.py, gateway_routing_demo.py","LiteLLM / OpenRouter / Vercel AI Gateway, provider routing, auth, rate-limit, retry, cost tracking, A/B model swap",Session 7,Maps to Brij concept 04.
8b,3,Thu,Track C — Alt Architectures,Inference Platforms & Self-Hosting,2,Not Started,"08b_inference_platforms.py, labs/docker/ollama-compose.yml","Cloud inference (groq/together.ai/Fireworks), managed cloud AI (Bedrock/Vertex/Azure), Ollama self-hosting, vLLM for GPU",Session 08,Fills Roadmap Category 10.
9,3,Sat,D — Data & Multi-modal,Files & Document AI (incl. multimodal RAG),2,Not Started,"pdf_qa.py, vision_demo.py, citations_demo.py, batch_processor.py, multimodal_09_rag.py","Native PDF input, vision, Files API, Citations API, Batches API, CLIP/ColPali unified multimodal embedding",09_rag.py,Covers Brij RAG 05 + multimodal foundations.
9b,4,Sat,Track D — Data & Multi-modal,Voice & Image Generation Agents,2,Not Started,09b_voice_image_agents.py,"STT (Whisper local/Replicate), image gen (DALL-E 3 / Flux Pro via Replicate), TTS (OpenAI / ElevenLabs), Claude as reasoning layer; TRACK=budget|quality env var",Session 09,Fills Roadmap Category 11. Two tracks: budget (no new accounts) and quality (Replicate + ElevenLabs).
10,4,Mon-Tue,E — Graph Depth,Custom LangGraph + HITL,2,Not Started,"custom_graph.py, time_travel.py","StateGraph, conditional edges, interrupts, HITL approvals, time-travel debugging, subgraphs",08_chatbot_memory.py,Beyond create_react_agent.
11,4,Wed-Thu,E.5 — RAG Architectures,Hybrid RAG (dense + sparse + RRF),2,Not Started,"hybrid_09_rag.py, rrf_demo.py","BM25 sparse search, dense + sparse fusion, Reciprocal Rank Fusion, keyword vs semantic match",09_rag.py,Maps to Brij RAG 01. 15-30% retrieval-quality improvement.
12,4,Fri,E.5 — RAG Architectures,GraphRAG,2,Not Started,"graph_09_rag.py, entity_extractor.py","Entity + relationship extraction via structured output, NetworkX/Neo4j knowledge graph, subgraph retrieval, community summaries",Session 5,Maps to Brij RAG 02. High value for relationship-heavy data.
13,4,Sat-Sun,E.5 — RAG Architectures,Corrective RAG (CRAG),2,Not Started,"corrective_09_rag.py, retrieval_grader.py, query_rewriter.py","Retrieval-grader LLM judge, query rewriter, web-search fallback, branching pipeline",10_guardrails.py,Maps to Brij RAG 04.
14,5,Mon-Tue,F — Production,Evaluation (Ragas + LangSmith),2,Not Started,"eval_dataset.py, eval.py, regression.py","Golden datasets, faithfulness/answer-relevance/context-precision/context-recall, LangSmith tracing, regression",10_guardrails.py,Maps to Brij concept 06.
15,5,Wed-Thu,F — Production,Cost Optimization,2,Not Started,"model_selection.py, cache_audit.py, batch_pipeline.py, prompt_compression.py","Model selection per role, cache hit-rate optimization, Batches API, prompt compression",04_prompt_caching.py,Maps to Brij concept 05.
16,5,Fri-Sat,F — Production,Streaming + Web UI,2,Not Started,"app.py, static/index.html","Async LCEL (.ainvoke / .astream), SSE, async LCEL throughout, per-request thread_id, backpressure",11_production_chatbot.py,Browser-accessible chatbot.
17,5,Sun,F — Production,Production Deployment + Observability,2,Not Started,"Dockerfile, docker-compose.yml, fly.toml, monitoring.md","Containerization, deployment platforms, secrets, autoscaling, persistent backing stores, distributed tracing, cost dashboards",app.py from Session 16,Maps to Brij concept 08.
17b,6,Mon,F — Production,IAM & Auth for Agentic Systems,2,Not Started,"iam_auth.py, agent_identity.py","OAuth2/OIDC for agent identity; service-to-service auth (client credentials flow); scoped tool permissions; API key lifecycle & rotation; JWT claims for agent context; RBAC in multi-agent systems; Bearer token auth in A2A; zero-trust agent boundaries",Session 17,Gap vs A2A Protocol infographic (section 7 — identity & access control). Enterprise prerequisite: agents need identity before they can collaborate safely across trust boundaries.
18,6,Mon-Tue,G — Architect Skills,System Design Interview,2,Not Started,"interview_notes.md, design_artifacts/ (diagrams only)","Architect judgement, 5-phase interview structure, trade-off analysis",all prior sessions,No code — whiteboarding only.
19,6,Wed-Thu,G — Architect Skills,Red-teaming & Compliance,2,Not Started,"red_team_report.md, model_card.md","Adversarial prompt injection at depth, PII at scale (Presidio), compliance frameworks, audit trails, model cards",10_guardrails.py,Hardening against real attacks.
20,6,Fri,G — Architect Skills,AI Governance & Audit (NEW),2,Not Started,"governance_demo.py, audit_log_schema.py","Confidence scoring (self-reported + meta-judge), policy gates (rules-as-code), audit trail schema, decision reasoning logs, compliance integration (SOC 2/HIPAA/GDPR)",Session 19,NEW. Maps to Brij Knowledge Graph governance cluster.
21,6,Sat,G — Architect Skills,AI Product & UX Patterns,2,Not Started,"ux_audit.md, failure_ux_designs.md","When NOT to use AI, UX for non-determinism, user trust calibration, AI feature scoping, failure UX patterns",all prior sessions,Product thinking complements engineering.
21b,6,Fri,Track G — Architect Skills,Shipping & Building in Public,1,Not Started,21b_portfolio_generator.py,"AST-based lab scanner, Claude-generated project cards, skills matrix, LinkedIn post drafter, PORTFOLIO.md generator",All prior sessions,Fills Roadmap Category 13. Run after completing the course to generate a public portfolio.
22,7,Mon-Tue,H — Healthcare,Healthcare AI Landscape & Compliance,2,Not Started,"healthcare/landscape.md, healthcare/regulatory_map.md","Stakeholder map, HIPAA/GDPR/FDA SaMD, deidentification, regulatory grey zones",Sessions 18-21,US/India focus to be picked.
23,7,Wed-Thu,H — Healthcare,Reference Arch: Clinical Decision Support,2,Not Started,"healthcare/cds_architecture.md","RAG over clinical guidelines, audit-grade logging, doctor-in-the-loop HITL, faithfulness as safety floor",Session 10,Whiteboard a real CDS.
24,7,Sat,H — Healthcare,Case Study: HIPAA-Compliant Medical Chatbot,2,Not Started,"healthcare/medical_chatbot/","PII redaction (Presidio), citation grounding, audit trail, reverse-engineering of Hippocratic/Glass Health/K Health/Abridge",Session 23,Vertical slice build.
25,8,Mon-Tue,I — Agriculture,AgriTech AI Landscape,2,Not Started,"agritech/landscape.md","Smallholder vs commercial, India constraints, use case taxonomy, multi-modal as requirement",Sessions 18-21,Likely India-first focus.
26,8,Wed-Thu,I — Agriculture,Reference Arch: Crop Diagnostic + Advisory,2,Not Started,"agritech/cropdoc_architecture.md","Vision-first agent, voice I/O via Whisper, offline-tolerant design, vernacular RAG",Session 9,Multi-modal mandatory.
27,8,Sat,I — Agriculture,Case Study: Vernacular Farmer Bot,2,Not Started,"agritech/farmer_bot/","WhatsApp-first farmer assistant, ₹-paise unit economics, trust calibration",Session 26,Tier 2/3 India target.
28,9,Mon-Tue,J — Finance,FinTech AI Landscape & Regulation,2,Not Started,"fintech/landscape.md, fintech/regulatory_map.md","RBI/SEC/FINRA/MiFID II/SOX/PCI DSS, sub-vertical taxonomy, explainability, AI advice liability",Sessions 18-21,Pick sub-vertical focus.
29,9,Wed-Thu,J — Finance,Reference Arch: Fraud + Customer Support,2,Not Started,"fintech/fraud_support_architecture.md","Hybrid deterministic + LLM, real-time guardrails, structured output, tool-call gating",Session 28,Hybrid arch mandatory.
30,9,Sat,J — Finance,Case Study: Investment Research Assistant,2,Not Started,"fintech/investment_research/","Financial-document RAG with Citations API, batch processing for earnings, faithfulness scoring",Session 9,Compliance-grade build.
31,10,Mon-Tue,K — Vidya Karana,Domain & Content Strategy,2,Not Started,"vidya_karana/domain_map.md","Vedic texts / Yoga Sutras / Ayurvedic shastras, target audience tiers, Sanskrit + vernacular + English, wellness-vs-medical-claim, cultural sensitivity",Sessions 18-21,Will refine with vidya-karana repo.
32,10,Wed-Thu,K — Vidya Karana,Reference Arch: Applied-Wisdom Assistant,2,Not Started,"vidya_karana/architecture.md","Multi-source RAG, voice for guided practice, vision for pose feedback, personalization, citation-to-source-text",Session 9,Multi-modal practice support.
33,10,Sat,K — Vidya Karana,Case Study: Build Slice of vidya-karana,2,Not Started,"vidya_karana/build_slice/","Daily practice flow, cost engineering for daily-use, trust calibration",Session 32,Aligns to user's actual repo.
34,11,Mon-Tue,L — Family AI Agent,Landscape: Identity Privacy Channels,2,Not Started,"family_ai/landscape.md, family_ai/identity_model.md","Multi-generational stakeholders, COPPA, elder consent, family account model, WABA constraints + 24h windows",Sessions 18-21,Three channels: web + mobile + WhatsApp.
35,11,Wed-Sat,L — Family AI Agent,Reference Arch I: Meal + Archivist Specialists,2,Not Started,"family_ai/meal_archivist_arch.md","Meal Specialist, Family Archivist (long-term semantic + photo retrieval + voice memos), shared family memory schema, who's-asking router",Session 3,Two of three specialist agents.
36,12,Mon-Tue,L — Family AI Agent,Reference Arch II: Scheduler + Proactive Loop,2,Not Started,"family_ai/scheduler_proactive_arch.md","Scheduler/Reminder Agent, proactive notification engine, template management for WhatsApp, Family Concierge supervisor",Session 35,Adds the proactive layer.
37,12,Wed-Sun,L — Family AI Agent,Case Study + Vertical Slice Build,2,Not Started,"family_ai/family_concierge/","Reverse-engineer Ohai.ai + Maya + Alexa Routines, build Family Concierge + 3 specialists + WhatsApp adapter, cost engineering",Sessions 34-36,Capstone — most complex vertical.
38,13,Mon-Tue,M — Claude Code Mastery (Optional),CLAUDE.md + Settings Best Practices,1,Not Started,"~/.claude/CLAUDE.md, .claude/settings.json","Project memory + rules, coding standards capture, instruction layering (global vs project vs feature), settings configuration, permission scopes",existing project,Track M is optional. Targets users who want to master Claude Code itself.
39,13,Wed-Sat,M — Claude Code Mastery (Optional),Claude Code Hooks (automation gates),2,Not Started,".claude/hooks/*.sh, hook configuration examples","Hooks lifecycle (pre/post events), pre-tool-use gates (block destructive commands), post-tool-use formatters, structured stop-hook, observability hooks",Session 38,Claude Code-specific feature.
40,13,Sun,M — Claude Code Mastery (Optional),Autonomous Workflows with Claude Code,2,Not Started,"autonomous_workflow.md, deployment example","Putting it all together: CLAUDE.md + Skills + Hooks + MCP + Subagents → ship from one prompt, monitor + iterate, governance",Sessions 38-39 + Sessions 1+6,The capstone of Track M.
41,14,Mon-Tue,M — Claude Code Mastery (Optional),Codebase Archaeology with Claude,1,Not Started,"repo_map.py, architecture_summary.py","Structured repo-map prompt, file-by-file guided walk, dependency graph extraction, architecture narrative generation, onboarding doc auto-draft, CLAUDE.md auto-population",Session 40,"Maps to image item 04 (Learn Any Codebase in an Hour). Claude produces a full architecture summary + guided walkthrough for any GitHub repo in under an hour. Practical onboarding accelerator."
42,14,Wed-Thu,M — Claude Code Mastery (Optional),Browser Automation & Computer Use,2,Not Started,"browser_agent.py, computer_use_demo.py","Anthropic Computer Use API, screenshot-driven action loop, DOM-free web interaction, form fill + navigation without Playwright, goal-conditioned web task chain, no-human-in-the-loop browser workflow",Session 40,"Maps to image item 06 (Automate the Browser End-to-End). Claude drives a real browser from a natural-language goal — search, click, fill, extract — autonomously."
43,14,Fri,M — Claude Code Mastery (Optional),Scheduled Cloud Routines,2,Not Started,"scheduled_routine.py, cron_agent.py","Cron-driven Claude Code workflows (/schedule skill + cron API), prompt-plus-schedule pattern, idempotent task design, result persistence, wake-up-to-result pipeline, overnight automation without a human trigger",Session 40,"Maps to image item 08 (Schedule Cloud Routines Overnight). Automate recurring research, reports, or alerts entirely via scheduled prompts — no manual trigger needed."
44,14,Sat,M — Claude Code Mastery (Optional),Document & Slide Generation,1,Not Started,"doc_writer.py, slide_builder.py, resume_tailor.py","JD-to-resume rewrite (ATS optimisation), structured slide outline → rendered deck, PDF export via WeasyPrint/pptx, context-aware template injection, multi-format output from a single prompt",Session 40,"Maps to image items 07 (Tailor Docs/Resumes) and 09 (Design Pages/Decks Without Figma). Claude as a context-aware document factory — paste input, describe format, receive publish-ready output."
45,14,Sun,M — Claude Code Mastery (Optional),Multi-Agent Code Review Pipeline,2,Not Started,"review_orchestrator.py, reviewer_security.py, reviewer_logic.py, reviewer_style.py, reviewer_docs.py","Parallel specialist reviewer agents (security / logic / style / docs), severity classification schema (critical→low), structured finding schema, finding dedup + merge, GitHub PR annotation via API, scale reviews without headcount",Session 14 + Session 40,"Maps to image item 10 (Run Multi-Agent Code Reviews in Parallel). Drop a PR URL; four agents fan out in parallel and label every finding critical/major/minor/low. Mirrors the Claude Code /code-review skill architecture."
46,15,Mon-Wed,M — Claude Code Mastery (Optional),Claude Code Project Structure (Full Tutorial),3,Not Started,".claude/CLAUDE.md, .claude/CLAUDE.local.md, AGENTS.md, mcp.json, .claude/settings.json, .claude/rules/*.md, .claude/commands/*.md, .claude/skills/<name>/SKILL.md, .claude/agents/*.md, .claude/hooks/*.sh, .claude/memory/*.md, .claude/workflows/*.md","CLAUDE.md (loaded every session), CLAUDE.local.md (personal overrides gitignored), AGENTS.md (subagent roster), mcp.json (MCP integrations), settings.json (permissions + hooks), rules/*.md (modular on-demand rules), commands/*.md (custom slash commands), skills/<name>/SKILL.md (context-triggered knowledge), agents/*.md (specialist subagents with own system prompts), hooks/*.sh (event-driven enforcement), memory/*.md (persistent cross-session context), workflows/*.md (multi-step task blueprints)",Sessions 38-45,"NEW. Tutorial covering the full Claude Code project structure shown in the Claude Code Project Structure infographic. Each layer is explained, built, and exercised with hands-on tasks. Capstone of Track M — ties together every session in the track."
